,0
0,Alabama
1,Alaska
2,Arizona
3,California
4,Colorado
5,Delaware
6,Illinois
7,Iowa
8,Massachusetts
9,Michigan
10,Minnesota
11,Mississippi
12,Missouri
13,Montana
14,Nebraska
15,Nevada
16,New Hampshire
17,New Jersey
18,New Mexico
19,New York
20,North Carolina
21,North Dakota
22,Rhode Island
23,South Carolina
24,South Dakota
25,Vermont
26,West Virginia
27,Wisconsin
28,Wyoming
